Index,Highest Charting Position,Number of Times Charted,Song Name,Streams,Artist,Artist Followers,Genre,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence,Chord
1296,45,4,SoliÃ¡,4516243,Bad Bunny,36177712, trap latino,72.0,0.71,0.81,-5.507,0.0854,0.117,0.154,92.041,159282.0,0.184,D
1298,61,1,Bean (Kobe) [feat. Chief Keef],9039518,Lil Uzi Vert,11821805, rap,67.0,0.733,0.567,-6.718,0.319,0.0129,0.382,75.491,238816.0,0.319,C
1298,61,1,Bean (Kobe) [feat. Chief Keef],9039518,Lil Uzi Vert,11821805, trap,67.0,0.733,0.567,-6.718,0.319,0.0129,0.382,75.491,238816.0,0.319,C
1301,36,2,Silly Watch,6442451,Lil Uzi Vert,11821805, rap,65.0,0.903,0.535,-6.238,0.286,0.0298,0.0851,130.117,195692.0,0.157,G#/Ab
1301,36,2,Silly Watch,6442451,Lil Uzi Vert,11821805, trap,65.0,0.903,0.535,-6.238,0.286,0.0298,0.0851,130.117,195692.0,0.157,G#/Ab
1303,126,1,Lotus,6017103,Lil Uzi Vert,11821805, rap,58.0,0.802,0.748,-5.708,0.207,0.24,0.165,150.063,193861.0,0.516,G#/Ab
1303,126,1,Lotus,6017103,Lil Uzi Vert,11821805, trap,58.0,0.802,0.748,-5.708,0.207,0.24,0.165,150.063,193861.0,0.516,G#/Ab
1306,147,1,Leaders (feat. NAV),5496780,Lil Uzi Vert,11821805, rap,60.0,0.95,0.654,-5.895,0.307,0.0744,0.138,132.936,194844.0,0.886,C
1306,147,1,Leaders (feat. NAV),5496780,Lil Uzi Vert,11821805, trap,60.0,0.95,0.654,-5.895,0.307,0.0744,0.138,132.936,194844.0,0.886,C
1307,149,1,Strawberry Peels (feat. Young Thug & Gunna),5468083,Lil Uzi Vert,11821805, rap,59.0,0.862,0.65,-6.978,0.355,0.0207,0.568,131.194,115350.0,0.658,A#/Bb
1307,149,1,Strawberry Peels (feat. Young Thug & Gunna),5468083,Lil Uzi Vert,11821805, trap,59.0,0.862,0.65,-6.978,0.355,0.0207,0.568,131.194,115350.0,0.658,A#/Bb
1308,60,3,La Zona,5440382,Bad Bunny,36177712, reggaeton,69.0,0.762,0.801,-3.661,0.0409,0.2,0.254,93.992,136893.0,0.81,C#/Db
1308,60,3,La Zona,5440382,Bad Bunny,36177712, trap latino,69.0,0.762,0.801,-3.661,0.0409,0.2,0.254,93.992,136893.0,0.81,C#/Db
1309,153,1,Wassup (feat. Future),5415044,Lil Uzi Vert,11821805, rap,57.0,0.762,0.622,-6.293,0.223,0.352,0.145,130.019,193314.0,0.626,F
1309,153,1,Wassup (feat. Future),5415044,Lil Uzi Vert,11821805, trap,57.0,0.762,0.622,-6.293,0.223,0.352,0.145,130.019,193314.0,0.626,F
